特征,权重
6,0.18977212558661063
18,0.1865198438567135
4,0.1865016550840955
9,0.1674718518039512
date,0.16741075712239412
1,0.16741075712239412
10,0.124888741349146
8,0.07157859403772635
17,0.024286163751794484
20,0.01841898220845738
19,0.015648572451777882
5,0.015513614316430283
15,0.011696477812572333
16,-0.05940441540699511
3,-0.05951568023713898
7,-0.22842607764427483
14,-0.3136466869049018
12,-0.3755457184258768
13,-0.5357933030180079
2,-0.535914878766653
day_of_week,-0.535914878766653
11,-0.5546035895247071
